5.0072 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
15.7285 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f87b5a071f0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f87819ee070>, multiSample=False, name='window1', numSamples=2, pos=[220.0, 150.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.7289 	EXP 	window1: mouseVisible = True
15.7290 	EXP 	window1: mouseVisible = True
15.7291 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.7291 	EXP 	window1: recordFrameIntervals = False
15.8945 	EXP 	window1: recordFrameIntervals = True
16.0787 	EXP 	Screen (0) actual frame rate measured at 59.81Hz
16.0788 	EXP 	window1: recordFrameIntervals = False
16.0892 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
16.0961 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
16.1074 	EXP 	Imported Staircase method conditions.xlsx as conditions, 1 conditions, 5 params
16.3102 	EXP 	window1: recordFrameIntervals = False
16.3154 	EXP 	window1: recordFrameIntervals = False
17.3063 	EXP 	fixation: autoDraw = True
18.0998 	EXP 	grating: autoDraw = True
18.0998 	EXP 	grating: tex = 'sin'
18.3180 	EXP 	fixation: autoDraw = False
18.4012 	EXP 	grating: autoDraw = False
18.7143 	DATA 	Keypress: right
18.7165 	EXP 	window1: recordFrameIntervals = False
18.7201 	EXP 	fixation: autoDraw = False
18.7201 	EXP 	grating: autoDraw = False
18.7202 	EXP 	window1: recordFrameIntervals = False
19.7084 	EXP 	fixation: autoDraw = True
